date,item_code,brand_name,quantity,unit_price,executive
2022-09-23,NES099,Milo,8,123.6,Wei Yong
2025-01-24,NES019,Koko Krunch,3,98.4,Amira
2023-05-03,NES010,Maggi,8,103.5,Viknesh
2024-02-06,NES042,KitKat,8,76.9,Hazim
2024-02-04,NES087,KitKat,3,40.2,John
2024-06-06,NES055,Maggi,7,89.1,Viknesh
2024-04-11,NES041,Lactogrow,3,149.6,Amira
2024-03-24,NES049,Gold Cornflakes,1,71.2,Wei Yong
2022-07-20,NES004,Milo,5,128.2,Wei Yong
2023-12-25,NES019,Koko Krunch,7,98.4,Hazim
2023-06-11,NES049,Gold Cornflakes,1,71.2,John
2023-01-05,NES017,Maggi,4,111.0,Amira
2023-10-22,NES051,Maggi,4,112.1,Wei Yong
2023-06-06,NES090,Lactogrow,4,136.1,Wei Yong
2022-11-17,NES084,Maggi,2,69.0,Amira
2025-03-03,NES041,Lactogrow,6,149.6,Amira
2025-02-04,NES088,Milo,4,79.2,John
2024-11-11,NES076,Nescafé,3,63.3,Amira
2022-02-24,NES021,Koko Krunch,8,124.2,Hazim
2022-09-18,NES047,Gold Cornflakes,2,107.8,Viknesh
2023-07-19,NES045,Milo,9,130.0,Viknesh
2023-11-11,NES067,Cerelac,7,69.3,Wei Yong
2023-12-26,NES003,KitKat,6,145.3,Wei Yong
2025-05-20,NES026,Nescafé,2,31.9,Amira
2023-11-17,NES017,Maggi,2,111.0,Hazim
2022-10-05,NES025,Gold Cornflakes,10,144.1,Viknesh
2024-05-05,NES036,Lactogrow,5,60.7,Amira
2024-03-31,NES038,Nescafé,8,134.0,Viknesh
2025-04-11,NES089,Maggi,5,56.9,Viknesh
2022-02-19,NES074,Nescafé,9,62.8,Amira
2022-08-28,NES078,Lactogrow,9,42.1,Hazim
2023-10-07,NES022,Cerelac,5,67.8,Hazim
2023-01-25,NES008,Gold Cornflakes,2,96.0,Viknesh
2023-05-10,NES043,Nestum,9,46.4,Amira
2024-11-23,NES062,Gold Cornflakes,5,105.4,Viknesh
2023-08-25,NES070,KitKat,3,69.4,Viknesh
2025-04-15,NES020,Milo,6,103.8,Wei Yong
2025-02-15,NES013,Lactogrow,3,117.0,Viknesh
2022-01-25,NES082,Nescafé,6,62.2,Hazim
2024-05-21,NES043,Nestum,2,46.4,John
2023-07-02,NES065,KitKat,3,140.0,Hazim
2024-12-11,NES041,Lactogrow,7,149.6,Hazim
2025-01-18,NES045,Milo,7,130.0,Wei Yong
2022-11-28,NES096,Milo,6,103.2,Amira
2022-12-21,NES066,Nestum,5,47.1,Amira
2022-11-01,NES078,Lactogrow,7,42.1,Wei Yong
2024-08-19,NES099,Milo,1,123.6,Hazim
2024-06-24,NES022,Cerelac,8,67.8,Hazim
2025-06-22,NES100,Gold Cornflakes,3,134.1,Viknesh
2023-05-24,NES093,Lactogrow,9,90.8,Amira
2022-01-31,NES015,Lactogrow,5,36.7,Viknesh
2025-06-22,NES042,KitKat,2,76.9,John
2022-02-19,NES061,KitKat,5,42.5,Hazim
2024-09-13,NES018,Gold Cornflakes,3,122.0,Wei Yong
2023-01-24,NES036,Lactogrow,8,60.7,Wei Yong
2024-09-23,NES042,KitKat,1,76.9,Viknesh
2023-01-22,NES022,Cerelac,4,67.8,Amira
2024-12-05,NES040,Nescafé,1,94.6,Viknesh
2022-10-03,NES054,Maggi,5,145.0,Amira
2023-02-02,NES060,Cerelac,10,91.2,John
2024-12-09,NES001,Cerelac,9,46.7,John
2025-06-05,NES095,Milo,6,108.0,Viknesh
2024-12-14,NES089,Maggi,5,56.9,Hazim
2025-04-05,NES045,Milo,7,130.0,John
2023-06-27,NES034,Gold Cornflakes,5,47.7,Viknesh
2022-02-08,NES037,Milo,9,136.5,Hazim
2024-12-19,NES064,Lactogrow,4,61.5,John
2025-04-05,NES078,Lactogrow,10,42.1,Viknesh
2024-04-22,NES043,Nestum,9,46.4,Wei Yong
2022-01-24,NES089,Maggi,4,56.9,Amira
2022-02-09,NES058,Lactogrow,6,150.0,Viknesh
2022-12-06,NES007,KitKat,1,119.9,Hazim
2022-07-04,NES037,Milo,7,136.5,Amira
2023-05-11,NES053,Nestum,3,77.1,Wei Yong
2023-05-27,NES071,Gold Cornflakes,2,93.7,Amira
2022-06-18,NES045,Milo,8,130.0,Amira
2025-05-01,NES056,Nescafé,8,52.1,Hazim
2023-07-04,NES093,Lactogrow,2,90.8,Viknesh
2025-03-23,NES057,Nescafé,9,83.7,Amira
2025-01-19,NES050,Maggi,10,135.8,John
2024-04-01,NES006,KitKat,1,136.5,Viknesh
2022-04-05,NES062,Gold Cornflakes,3,105.4,John
2024-01-08,NES011,Nestum,10,78.0,Amira
2023-01-28,NES040,Nescafé,5,94.6,Amira
2023-04-12,NES050,Maggi,1,135.8,Amira
2023-02-14,NES087,KitKat,3,40.2,John
