date,item_code,brand_name,quantity,unit_price,executive
2022-07-11,NES001,Nescafé,6,35.89,Viknesh
2022-06-24,NES002,Milo,8,99.26,Viknesh
2022-07-24,NES003,Nescafé,1,36.42,Hazim
2022-07-07,NES004,Maggi,9,142.77,John
2022-07-08,NES005,Maggi,10,42.55,Hazim
2022-07-12,NES006,KitKat,5,123.36,John
2022-07-12,NES007,Milo,5,146.4,John
2022-07-20,NES008,Nestum,10,104.11,Viknesh
2022-07-17,NES009,Cerelac,7,59.33,Hazim
2022-07-13,NES010,Cerelac,7,48.16,John
2022-07-07,NES011,Lactogrow,3,128.99,Hazim
2022-06-28,NES012,Cerelac,10,116.9,Viknesh
2022-07-21,NES013,Milo,4,86.6,Hazim
2022-07-23,NES014,Lactogrow,8,53.14,Hazim
2022-07-12,NES015,Cerelac,8,92.53,Viknesh
2022-07-14,NES016,Maggi,10,43.29,Hazim
2022-06-26,NES017,Milo,7,88.35,John
2022-07-13,NES018,Koko Krunch,2,67.63,Amira
2022-07-03,NES019,Nescafé,9,113.32,John
2022-06-25,NES020,Milo,3,86.6,Wei Yong
2022-07-10,NES021,Gold Cornflakes,7,100.98,Viknesh
2022-06-25,NES022,Nescafé,5,111.99,Hazim
2022-07-11,NES023,Gold Cornflakes,10,44.62,Amira
2022-07-08,NES024,Cerelac,2,36.64,Hazim
2022-07-03,NES025,KitKat,1,91.13,Viknesh
2022-07-08,NES026,Maggi,2,77.28,Amira
2022-07-10,NES027,Nestum,1,133.56,John
2022-07-22,NES028,Koko Krunch,1,68.05,Amira
2022-07-23,NES029,Maggi,2,106.3,John
2022-07-13,NES030,Gold Cornflakes,2,149.95,John
2022-06-25,NES031,Gold Cornflakes,6,94.19,Wei Yong
2022-07-13,NES032,KitKat,3,147.77,Wei Yong
2022-07-21,NES033,Cerelac,4,57.4,Amira
2022-07-09,NES034,Koko Krunch,9,131.03,Hazim
2022-07-23,NES035,Nescafé,9,126.94,Amira
2022-06-24,NES036,Koko Krunch,6,137.21,John
2022-07-03,NES037,Lactogrow,10,43.89,Viknesh
2022-07-11,NES038,Cerelac,3,38.96,Wei Yong
2022-07-14,NES039,Nescafé,9,41.68,Viknesh
2022-06-30,NES040,Gold Cornflakes,1,35.98,Amira
2022-07-13,NES041,KitKat,2,58.29,Wei Yong
2022-06-28,NES042,Nestum,9,128.34,Hazim
2022-06-29,NES043,Cerelac,1,135.9,Amira
2022-07-18,NES044,Lactogrow,4,71.71,Wei Yong
2022-07-09,NES045,Nestum,8,92.69,Hazim
2022-07-03,NES046,Lactogrow,3,70.59,Hazim
2022-07-24,NES047,Cerelac,9,32.61,Hazim
2022-06-28,NES048,Gold Cornflakes,10,30.2,Amira
2022-06-30,NES049,Nestum,1,38.89,Wei Yong
2022-07-24,NES050,Lactogrow,5,142.86,Viknesh
2022-06-26,NES051,Lactogrow,7,129.87,Viknesh
2022-06-25,NES052,Nestum,3,97.42,Wei Yong
